timestamp,rainfall_mm,soil_moisture,river_discharge_m3s,groundwater_index,impervious_fraction
2021-07-01 00:00:00,0.026,0.6,80.0,0.5449,0.15
2021-07-01 01:00:00,0.123,0.5976,72.91,0.5247,0.15
2021-07-01 02:00:00,0.115,0.5954,70.65,0.5344,0.15
2021-07-01 03:00:00,0.133,0.5943,52.86,0.5562,0.15
2021-07-01 04:00:00,0.246,0.5935,39.1,0.5598,0.15
2021-07-01 05:00:00,0.081,0.5921,20.74,0.5551,0.15
2021-07-01 06:00:00,0.145,0.5913,25.76,0.544,0.15
2021-07-01 07:00:00,1.419,0.5958,30.35,0.5174,0.15
2021-07-01 08:00:00,0.553,0.598,32.96,0.5455,0.15
2021-07-01 09:00:00,0.77,0.5996,20.65,0.521,0.15
2021-07-01 10:00:00,0.166,0.598,33.11,0.5159,0.15
2021-07-01 11:00:00,0.086,0.5969,24.61,0.5408,0.15
2021-07-01 12:00:00,0.215,0.5942,23.87,0.5426,0.15
2021-07-01 13:00:00,0.138,0.5921,28.39,0.5464,0.15
2021-07-01 14:00:00,0.601,0.594,19.49,0.5421,0.15
2021-07-01 15:00:00,0.661,0.5936,15.42,0.5422,0.15
2021-07-01 16:00:00,0.29,0.5942,16.17,0.52,0.15
2021-07-01 17:00:00,0.204,0.5947,37.9,0.5337,0.15
2021-07-01 18:00:00,0.162,0.5931,36.41,0.5112,0.15
2021-07-01 19:00:00,0.243,0.5927,45.87,0.5033,0.15
2021-07-01 20:00:00,0.051,0.592,50.21,0.5439,0.15
2021-07-01 21:00:00,0.719,0.5932,50.01,0.5225,0.15
2021-07-01 22:00:00,0.11,0.5926,36.53,0.5464,0.15
2021-07-01 23:00:00,0.103,0.5904,41.04,0.548,0.15
2021-07-02 00:00:00,1.024,0.5931,28.22,0.5245,0.15
2021-07-02 01:00:00,0.78,0.5942,40.76,0.5436,0.15
2021-07-02 02:00:00,0.407,0.5945,39.1,0.5252,0.15
2021-07-02 03:00:00,0.065,0.594,13.47,0.5069,0.15
2021-07-02 04:00:00,0.309,0.5934,10.36,0.5359,0.15
2021-07-02 05:00:00,0.308,0.5916,15.58,0.5254,0.15
2021-07-02 06:00:00,0.055,0.5888,12.03,0.5234,0.15
2021-07-02 07:00:00,0.042,0.5874,16.48,0.5583,0.15
2021-07-02 08:00:00,0.059,0.5876,10.0,0.5059,0.15
2021-07-02 09:00:00,0.249,0.5872,10.0,0.5342,0.15
2021-07-02 10:00:00,0.043,0.5851,10.0,0.5116,0.15
2021-07-02 11:00:00,0.065,0.5841,10.0,0.5394,0.15
2021-07-02 12:00:00,0.15,0.5827,10.0,0.5289,0.15
2021-07-02 13:00:00,0.201,0.5813,19.42,0.5288,0.15
2021-07-02 14:00:00,0.353,0.5801,11.7,0.5079,0.15
2021-07-02 15:00:00,0.063,0.5798,13.06,0.5103,0.15
2021-07-02 16:00:00,0.859,0.5796,15.47,0.5355,0.15
2021-07-02 17:00:00,0.102,0.5789,10.0,0.5476,0.15
2021-07-02 18:00:00,0.393,0.5784,10.0,0.5277,0.15
2021-07-02 19:00:00,0.01,0.576,10.0,0.505,0.15
2021-07-02 20:00:00,0.191,0.5767,25.41,0.5241,0.15
2021-07-02 21:00:00,0.105,0.5745,27.42,0.5534,0.15
2021-07-02 22:00:00,0.479,0.5742,12.24,0.5183,0.15
2021-07-02 23:00:00,0.679,0.5755,10.0,0.5398,0.15
2021-07-03 00:00:00,0.329,0.5755,15.98,0.5069,0.15
2021-07-03 01:00:00,1.667,0.5814,19.96,0.5226,0.15
2021-07-03 02:00:00,0.036,0.578,26.84,0.5295,0.15
2021-07-03 03:00:00,0.285,0.5766,17.71,0.5249,0.15
2021-07-03 04:00:00,0.147,0.5766,18.98,0.5074,0.15
2021-07-03 05:00:00,0.259,0.576,24.51,0.5062,0.15
2021-07-03 06:00:00,0.074,0.5748,18.28,0.5321,0.15
2021-07-03 07:00:00,0.457,0.5748,14.51,0.5352,0.15
2021-07-03 08:00:00,0.429,0.5743,14.68,0.5396,0.15
2021-07-03 09:00:00,0.135,0.5747,17.8,0.5442,0.15
2021-07-03 10:00:00,0.064,0.5728,15.81,0.5175,0.15
2021-07-03 11:00:00,0.229,0.5715,22.62,0.5097,0.15
2021-07-03 12:00:00,0.274,0.572,17.31,0.535,0.15
2021-07-03 13:00:00,0.28,0.5706,10.0,0.5243,0.15
2021-07-03 14:00:00,0.263,0.5693,25.67,0.4977,0.15
2021-07-03 15:00:00,0.057,0.5676,17.98,0.4954,0.15
2021-07-03 16:00:00,0.272,0.567,12.36,0.5177,0.15
2021-07-03 17:00:00,0.183,0.5662,11.09,0.5069,0.15
2021-07-03 18:00:00,0.662,0.5696,12.94,0.5122,0.15
2021-07-03 19:00:00,0.0,0.5679,10.0,0.5272,0.15
2021-07-03 20:00:00,0.038,0.5637,10.0,0.5187,0.15
2021-07-03 21:00:00,0.177,0.5629,10.0,0.5266,0.15
2021-07-03 22:00:00,0.267,0.5623,11.27,0.4771,0.15
2021-07-03 23:00:00,0.22,0.5615,10.0,0.5091,0.15
2021-07-04 00:00:00,0.37,0.5616,25.33,0.5158,0.15
2021-07-04 01:00:00,0.086,0.56,21.45,0.4811,0.15
2021-07-04 02:00:00,0.147,0.5586,24.11,0.493,0.15
2021-07-04 03:00:00,0.175,0.5581,10.89,0.4897,0.15
2021-07-04 04:00:00,0.355,0.5574,10.0,0.502,0.15
2021-07-04 05:00:00,0.752,0.5582,10.0,0.5268,0.15
2021-07-04 06:00:00,0.329,0.5608,21.87,0.5351,0.15
2021-07-04 07:00:00,0.015,0.5582,14.62,0.4902,0.15
2021-07-04 08:00:00,0.166,0.5571,19.59,0.5093,0.15
2021-07-04 09:00:00,0.241,0.5548,13.0,0.5077,0.15
2021-07-04 10:00:00,0.035,0.5531,10.0,0.5036,0.15
2021-07-04 11:00:00,0.064,0.5505,10.0,0.5014,0.15
2021-07-04 12:00:00,0.249,0.5493,20.07,0.4989,0.15
2021-07-04 13:00:00,0.175,0.5492,10.0,0.5196,0.15
2021-07-04 14:00:00,0.544,0.5504,10.0,0.5119,0.15
2021-07-04 15:00:00,0.46,0.5513,10.0,0.4803,0.15
2021-07-04 16:00:00,0.66,0.5508,10.0,0.5077,0.15
2021-07-04 17:00:00,0.047,0.5509,10.0,0.5092,0.15
2021-07-04 18:00:00,0.476,0.5501,10.0,0.4998,0.15
2021-07-04 19:00:00,0.04,0.5498,10.0,0.5118,0.15
2021-07-04 20:00:00,0.038,0.549,10.0,0.4969,0.15
2021-07-04 21:00:00,0.103,0.5481,10.0,0.4963,0.15
2021-07-04 22:00:00,0.054,0.5455,18.62,0.4928,0.15
2021-07-04 23:00:00,0.393,0.5456,21.18,0.4608,0.15
2021-07-05 00:00:00,0.03,0.5433,20.26,0.4878,0.15
2021-07-05 01:00:00,0.477,0.5437,11.72,0.4793,0.15
2021-07-05 02:00:00,0.105,0.542,10.0,0.47,0.15
2021-07-05 03:00:00,0.484,0.5404,10.0,0.5079,0.15
2021-07-05 04:00:00,0.217,0.5406,10.0,0.4941,0.15
2021-07-05 05:00:00,0.321,0.5401,17.03,0.4857,0.15
2021-07-05 06:00:00,0.017,0.5377,22.28,0.4755,0.15
2021-07-05 07:00:00,0.434,0.5373,26.38,0.488,0.15
2021-07-05 08:00:00,0.133,0.5364,17.85,0.4976,0.15
2021-07-05 09:00:00,0.049,0.5337,16.1,0.4679,0.15
2021-07-05 10:00:00,0.124,0.5301,12.09,0.477,0.15
2021-07-05 11:00:00,0.155,0.5293,10.0,0.4894,0.15
2021-07-05 12:00:00,0.089,0.5282,25.45,0.4464,0.15
2021-07-05 13:00:00,0.222,0.5271,10.0,0.4736,0.15
2021-07-05 14:00:00,0.506,0.5265,10.0,0.4674,0.15
2021-07-05 15:00:00,0.175,0.5255,19.19,0.4709,0.15
2021-07-05 16:00:00,0.051,0.5223,10.0,0.4625,0.15
2021-07-05 17:00:00,0.163,0.5201,10.0,0.4701,0.15
2021-07-05 18:00:00,0.111,0.5179,10.0,0.4949,0.15
2021-07-05 19:00:00,0.031,0.5169,10.0,0.4603,0.15
2021-07-05 20:00:00,0.072,0.5149,10.0,0.4678,0.15
2021-07-05 21:00:00,0.141,0.5131,14.13,0.4917,0.15
2021-07-05 22:00:00,0.264,0.5144,18.82,0.4547,0.15
2021-07-05 23:00:00,0.6,0.5158,23.03,0.4914,0.15
2021-07-06 00:00:00,0.013,0.5142,13.35,0.4628,0.15
2021-07-06 01:00:00,0.059,0.5121,12.68,0.4876,0.15
2021-07-06 02:00:00,0.084,0.5099,10.0,0.4702,0.15
2021-07-06 03:00:00,0.502,0.5082,10.0,0.462,0.15
2021-07-06 04:00:00,0.218,0.5083,26.9,0.4565,0.15
2021-07-06 05:00:00,0.105,0.5073,24.86,0.4472,0.15
2021-07-06 06:00:00,0.147,0.5058,12.96,0.4564,0.15
2021-07-06 07:00:00,0.226,0.5048,13.75,0.4678,0.15
2021-07-06 08:00:00,0.08,0.5039,10.0,0.4534,0.15
2021-07-06 09:00:00,0.511,0.5029,10.0,0.4479,0.15
2021-07-06 10:00:00,0.468,0.5027,10.0,0.4487,0.15
2021-07-06 11:00:00,0.22,0.5007,10.0,0.4655,0.15
2021-07-06 12:00:00,0.738,0.5041,19.25,0.4721,0.15
2021-07-06 13:00:00,0.006,0.503,21.59,0.4427,0.15
2021-07-06 14:00:00,1.102,0.5043,27.59,0.4439,0.15
2021-07-06 15:00:00,1.301,0.5073,20.69,0.4623,0.15
2021-07-06 16:00:00,0.052,0.5054,14.08,0.4778,0.15
2021-07-06 17:00:00,0.1,0.5035,14.97,0.4703,0.15
2021-07-06 18:00:00,0.165,0.501,10.0,0.4321,0.15
2021-07-06 19:00:00,0.035,0.5011,10.0,0.447,0.15
2021-07-06 20:00:00,0.282,0.5008,13.46,0.4368,0.15
2021-07-06 21:00:00,0.072,0.4997,10.0,0.4457,0.15
2021-07-06 22:00:00,0.297,0.4984,11.8,0.4727,0.15
2021-07-06 23:00:00,0.228,0.4983,24.03,0.4271,0.15
2021-07-07 00:00:00,0.195,0.4969,20.56,0.4229,0.15
2021-07-07 01:00:00,0.051,0.4949,27.73,0.433,0.15
2021-07-07 02:00:00,0.134,0.4942,29.41,0.4491,0.15
2021-07-07 03:00:00,0.456,0.4928,15.97,0.4528,0.15
2021-07-07 04:00:00,0.568,0.4952,10.0,0.4523,0.15
2021-07-07 05:00:00,0.037,0.4936,10.0,0.4619,0.15
2021-07-07 06:00:00,0.024,0.493,10.0,0.4173,0.15
2021-07-07 07:00:00,0.156,0.4907,10.0,0.4595,0.15
2021-07-07 08:00:00,0.033,0.488,13.85,0.4345,0.15
2021-07-07 09:00:00,0.557,0.4876,24.46,0.4498,0.15
2021-07-07 10:00:00,0.588,0.4888,26.34,0.42,0.15
2021-07-07 11:00:00,0.398,0.4888,21.2,0.44,0.15
2021-07-07 12:00:00,0.139,0.4871,10.0,0.4419,0.15
2021-07-07 13:00:00,0.034,0.4842,10.0,0.4531,0.15
2021-07-07 14:00:00,0.012,0.481,10.0,0.4091,0.15
2021-07-07 15:00:00,0.347,0.4807,11.65,0.4331,0.15
2021-07-07 16:00:00,0.317,0.4798,28.37,0.4156,0.15
2021-07-07 17:00:00,0.113,0.4777,35.35,0.4375,0.15
2021-07-07 18:00:00,0.319,0.4788,38.66,0.4426,0.15
2021-07-07 19:00:00,0.257,0.478,27.35,0.4495,0.15
2021-07-07 20:00:00,0.027,0.4774,20.07,0.4217,0.15
2021-07-07 21:00:00,0.086,0.4753,17.25,0.4417,0.15
2021-07-07 22:00:00,0.359,0.4754,10.41,0.4483,0.15
2021-07-07 23:00:00,0.202,0.4743,13.97,0.4022,0.15
2021-07-08 00:00:00,0.538,0.4733,17.3,0.4352,0.15
2021-07-08 01:00:00,0.147,0.4735,10.0,0.4405,0.15
2021-07-08 02:00:00,0.747,0.4751,21.36,0.4237,0.15
2021-07-08 03:00:00,0.498,0.4763,21.61,0.4105,0.15
2021-07-08 04:00:00,0.572,0.4764,10.0,0.4429,0.15
2021-07-08 05:00:00,0.293,0.4757,10.0,0.4102,0.15
2021-07-08 06:00:00,0.03,0.473,11.17,0.423,0.15
2021-07-08 07:00:00,0.103,0.4728,18.03,0.4249,0.15
2021-07-08 08:00:00,0.969,0.4759,17.04,0.4391,0.15
2021-07-08 09:00:00,0.09,0.4747,21.98,0.4179,0.15
2021-07-08 10:00:00,0.267,0.4754,21.91,0.4176,0.15
2021-07-08 11:00:00,0.67,0.4779,11.44,0.4316,0.15
2021-07-08 12:00:00,0.611,0.4798,10.0,0.4469,0.15
2021-07-08 13:00:00,0.472,0.4787,19.67,0.4651,0.15
2021-07-08 14:00:00,0.504,0.4785,28.89,0.4081,0.15
2021-07-08 15:00:00,0.404,0.4775,29.62,0.4345,0.15
2021-07-08 16:00:00,0.447,0.4785,39.82,0.4144,0.15
2021-07-08 17:00:00,0.177,0.4776,44.21,0.4451,0.15
2021-07-08 18:00:00,0.437,0.4764,46.12,0.4146,0.15
2021-07-08 19:00:00,0.179,0.4751,34.01,0.4174,0.15
2021-07-08 20:00:00,0.648,0.4748,46.37,0.4185,0.15
2021-07-08 21:00:00,0.184,0.4737,45.83,0.4252,0.15
2021-07-08 22:00:00,0.448,0.4723,39.04,0.4299,0.15
2021-07-08 23:00:00,0.214,0.4719,29.86,0.4319,0.15
2021-07-09 00:00:00,14.813,0.5443,87.59,0.4898,0.15
2021-07-09 01:00:00,35.793,0.7232,206.88,0.6309,0.15
2021-07-09 02:00:00,20.862,0.8263,271.1,0.7546,0.15
2021-07-09 03:00:00,26.804,0.9579,338.15,0.8613,0.15
2021-07-09 04:00:00,13.603,0.99,354.95,0.9084,0.15
2021-07-09 05:00:00,18.614,0.99,382.64,0.8804,0.15
2021-07-09 06:00:00,18.484,0.99,408.54,0.867,0.15
2021-07-09 07:00:00,9.646,0.99,392.04,0.8905,0.15
2021-07-09 08:00:00,23.385,0.99,437.25,0.9104,0.15
2021-07-09 09:00:00,8.252,0.99,432.9,0.8934,0.15
2021-07-09 10:00:00,20.407,0.99,473.66,0.888,0.15
2021-07-09 11:00:00,16.731,0.99,486.58,0.8779,0.15
2021-07-09 12:00:00,13.407,0.99,481.62,0.9174,0.15
2021-07-09 13:00:00,11.015,0.99,474.64,0.8756,0.15
2021-07-09 14:00:00,6.969,0.99,454.6,0.8801,0.15
2021-07-09 15:00:00,8.071,0.99,425.69,0.8996,0.15
2021-07-09 16:00:00,12.995,0.99,425.97,0.8632,0.15
2021-07-09 17:00:00,9.174,0.99,396.97,0.9101,0.15
2021-07-09 18:00:00,15.439,0.99,420.08,0.9004,0.15
2021-07-09 19:00:00,16.191,0.99,450.95,0.9045,0.15
2021-07-09 20:00:00,66.359,0.99,662.92,0.8994,0.15
2021-07-09 21:00:00,10.698,0.99,609.16,0.8886,0.15
2021-07-09 22:00:00,3.285,0.99,554.07,0.8751,0.15
2021-07-09 23:00:00,37.228,0.99,629.26,0.8889,0.15
2021-07-10 00:00:00,3.694,0.99,563.22,0.8764,0.15
2021-07-10 01:00:00,30.71,0.99,623.48,0.8983,0.15
2021-07-10 02:00:00,7.624,0.99,581.2,0.9031,0.15
2021-07-10 03:00:00,9.316,0.99,544.81,0.9132,0.15
2021-07-10 04:00:00,27.521,0.99,584.32,0.8966,0.15
2021-07-10 05:00:00,17.621,0.99,585.7,0.9049,0.15
2021-07-10 06:00:00,5.588,0.99,534.49,0.8865,0.15
2021-07-10 07:00:00,5.475,0.99,483.38,0.8838,0.15
2021-07-10 08:00:00,16.21,0.99,487.55,0.8981,0.15
2021-07-10 09:00:00,6.84,0.99,459.12,0.8852,0.15
2021-07-10 10:00:00,18.064,0.99,474.86,0.895,0.15
2021-07-10 11:00:00,19.15,0.99,483.17,0.8751,0.15
