timestamp,rainfall_mm,soil_moisture,river_discharge_m3s,groundwater_index,impervious_fraction
2019-03-10 00:00:00,1.202,0.45,200.0,0.3565,0.22
2019-03-10 01:00:00,1.168,0.4474,189.05,0.4149,0.22
2019-03-10 02:00:00,1.192,0.4497,175.66,0.373,0.22
2019-03-10 03:00:00,0.14,0.4489,169.77,0.3811,0.22
2019-03-10 04:00:00,0.043,0.443,157.05,0.3685,0.22
2019-03-10 05:00:00,0.726,0.4416,145.43,0.3564,0.22
2019-03-10 06:00:00,0.705,0.4391,131.55,0.3685,0.22
2019-03-10 07:00:00,1.562,0.4404,126.28,0.4235,0.22
2019-03-10 08:00:00,0.04,0.4376,118.62,0.3998,0.22
2019-03-10 09:00:00,0.523,0.4326,109.99,0.3506,0.22
2019-03-10 10:00:00,0.035,0.4309,97.29,0.3792,0.22
2019-03-10 11:00:00,0.545,0.4316,90.98,0.3502,0.22
2019-03-10 12:00:00,0.866,0.4316,84.65,0.3313,0.22
2019-03-10 13:00:00,0.193,0.4244,71.5,0.3811,0.22
2019-03-10 14:00:00,0.616,0.4219,59.34,0.3818,0.22
2019-03-10 15:00:00,0.077,0.4216,57.54,0.3793,0.22
2019-03-10 16:00:00,0.046,0.4133,50.0,0.3419,0.22
2019-03-10 17:00:00,0.158,0.4102,50.0,0.3453,0.22
2019-03-10 18:00:00,0.451,0.4066,50.0,0.3606,0.22
2019-03-10 19:00:00,0.206,0.4061,52.85,0.353,0.22
2019-03-10 20:00:00,0.624,0.4042,50.0,0.3357,0.22
2019-03-10 21:00:00,0.112,0.4025,50.0,0.3097,0.22
2019-03-10 22:00:00,0.919,0.4043,50.0,0.3459,0.22
2019-03-10 23:00:00,0.614,0.4074,50.0,0.3679,0.22
2019-03-11 00:00:00,0.328,0.4053,50.18,0.3206,0.22
2019-03-11 01:00:00,0.209,0.4039,50.0,0.3561,0.22
2019-03-11 02:00:00,0.227,0.3988,51.32,0.3456,0.22
2019-03-11 03:00:00,0.039,0.3984,50.0,0.3536,0.22
2019-03-11 04:00:00,0.09,0.3942,50.0,0.3525,0.22
2019-03-11 05:00:00,0.343,0.3915,51.13,0.3189,0.22
2019-03-11 06:00:00,0.194,0.3892,50.63,0.2985,0.22
2019-03-11 07:00:00,0.632,0.3856,57.11,0.3171,0.22
2019-03-11 08:00:00,0.354,0.3845,50.0,0.3446,0.22
2019-03-11 09:00:00,0.119,0.3839,50.0,0.3155,0.22
2019-03-11 10:00:00,0.231,0.3824,50.0,0.3112,0.22
2019-03-11 11:00:00,0.321,0.3775,50.0,0.2844,0.22
2019-03-11 12:00:00,0.172,0.3749,50.0,0.3537,0.22
2019-03-11 13:00:00,0.161,0.3741,50.0,0.3345,0.22
2019-03-11 14:00:00,0.439,0.3691,50.0,0.3291,0.22
2019-03-11 15:00:00,0.148,0.3645,50.06,0.3292,0.22
2019-03-11 16:00:00,0.667,0.3659,50.0,0.3226,0.22
2019-03-11 17:00:00,0.695,0.3663,52.84,0.3064,0.22
2019-03-11 18:00:00,0.542,0.3662,63.71,0.308,0.22
2019-03-11 19:00:00,0.037,0.3671,60.5,0.3035,0.22
2019-03-11 20:00:00,0.567,0.3673,59.43,0.3649,0.22
2019-03-11 21:00:00,0.677,0.3683,53.22,0.3242,0.22
2019-03-11 22:00:00,0.561,0.373,50.0,0.3078,0.22
2019-03-11 23:00:00,0.14,0.3701,50.0,0.3239,0.22
2019-03-12 00:00:00,0.16,0.3662,50.0,0.291,0.22
2019-03-12 01:00:00,0.083,0.3644,50.0,0.3398,0.22
2019-03-12 02:00:00,0.177,0.363,54.88,0.2953,0.22
2019-03-12 03:00:00,0.011,0.3589,51.87,0.3151,0.22
2019-03-12 04:00:00,0.084,0.3542,50.0,0.3224,0.22
2019-03-12 05:00:00,0.658,0.3585,50.0,0.3124,0.22
2019-03-12 06:00:00,1.998,0.3641,50.0,0.3114,0.22
2019-03-12 07:00:00,0.282,0.3608,51.25,0.3069,0.22
2019-03-12 08:00:00,0.142,0.3602,50.0,0.305,0.22
2019-03-12 09:00:00,0.199,0.3578,50.0,0.2926,0.22
2019-03-12 10:00:00,0.181,0.355,50.0,0.2927,0.22
2019-03-12 11:00:00,0.065,0.3534,50.0,0.3299,0.22
2019-03-12 12:00:00,0.542,0.3499,50.0,0.2953,0.22
2019-03-12 13:00:00,0.688,0.3504,50.0,0.2821,0.22
2019-03-12 14:00:00,0.754,0.3542,50.0,0.2908,0.22
2019-03-12 15:00:00,2.655,0.3628,50.26,0.3304,0.22
2019-03-12 16:00:00,1.053,0.3632,50.0,0.3223,0.22
2019-03-12 17:00:00,0.822,0.3625,50.0,0.3193,0.22
2019-03-12 18:00:00,0.522,0.3608,50.0,0.3015,0.22
2019-03-12 19:00:00,0.296,0.3585,50.0,0.3162,0.22
2019-03-12 20:00:00,0.022,0.3548,50.0,0.2887,0.22
2019-03-12 21:00:00,0.478,0.3555,50.0,0.297,0.22
2019-03-12 22:00:00,0.311,0.3503,50.0,0.3172,0.22
2019-03-12 23:00:00,0.754,0.3521,50.0,0.3167,0.22
2019-03-13 00:00:00,1.014,0.3524,50.0,0.2799,0.22
2019-03-13 01:00:00,0.166,0.3508,51.36,0.281,0.22
2019-03-13 02:00:00,0.025,0.3456,51.17,0.296,0.22
2019-03-13 03:00:00,0.462,0.3471,50.0,0.3296,0.22
2019-03-13 04:00:00,1.277,0.3517,50.0,0.2607,0.22
2019-03-13 05:00:00,0.411,0.3523,50.0,0.305,0.22
2019-03-13 06:00:00,1.065,0.3505,50.0,0.2704,0.22
2019-03-13 07:00:00,0.377,0.3507,50.0,0.2854,0.22
2019-03-13 08:00:00,0.657,0.3511,50.13,0.2912,0.22
2019-03-13 09:00:00,0.144,0.3455,50.0,0.2853,0.22
2019-03-13 10:00:00,0.067,0.3427,50.19,0.2806,0.22
