,daily_CFL,daily_PSe,compound,risk_state,risk_multiplier
2021-07-01,3.9,0.0,False,Stable,1.049
2021-07-02,1.41,0.0,False,Stable,1.018
2021-07-03,0.76,0.0,False,Stable,1.009
2021-07-04,0.0,0.0,False,Stable,1.0
2021-07-05,0.0,0.0,False,Stable,1.0
2021-07-06,0.0,0.0,False,Stable,1.0
2021-07-07,0.0,0.0,False,Stable,1.0
2021-07-08,0.0,0.0,False,Stable,1.0
2021-07-09,871.07,3.984,False,Failure,12.884
2021-07-10,855.32,4.56,True,Failure,13.332
2021-07-11,927.02,4.56,True,Failure,14.728
2021-07-12,2328.26,4.56,True,Failure,32.743
2021-07-13,2432.23,4.56,True,Failure,34.543
2021-07-14,2322.59,4.56,True,Failure,33.672
2021-07-15,486.34,4.442,True,Failure,11.19
2021-07-16,458.7,4.228,True,Failure,11.291
2021-07-17,428.9,3.638,False,Failure,7.271
2021-07-18,407.55,3.215,False,Failure,6.898
2021-07-19,385.06,2.775,False,Failure,6.507
2021-07-20,363.67,2.342,False,Failure,6.131
2021-07-21,350.87,2.026,False,Failure,5.892
