,daily_CFL,daily_PSe,compound,risk_state,risk_multiplier
2055-06-01,0.0,0.0,False,Stable,1.0
2055-06-02,0.32,0.0,False,Stable,1.004
2055-06-03,5.41,0.0,False,Stable,1.068
2055-06-04,0.37,0.0,False,Stable,1.005
2055-06-05,0.98,0.0,False,Stable,1.012
2055-06-06,2518.49,4.56,True,Failure,34.121
2055-06-07,2247.8,4.56,True,Failure,31.237
2055-06-08,482.96,4.397,True,Failure,9.636
2055-06-09,467.54,4.328,True,Failure,9.926
2055-06-10,471.73,4.458,True,Failure,10.511
2055-06-11,478.86,4.525,True,Failure,11.117
2055-06-12,2565.88,4.56,True,Failure,37.713
2055-06-13,2242.02,4.56,True,Failure,34.165
2055-06-14,487.7,4.518,True,Failure,12.726
2055-06-15,468.33,4.348,True,Failure,12.941
2055-06-16,460.38,4.261,True,Failure,13.32
2055-06-17,479.86,4.502,True,Failure,14.124
2055-06-18,478.75,4.53,True,Failure,14.617
2055-06-19,475.48,4.49,True,Failure,15.066
2055-06-20,2589.62,4.56,True,Failure,42.01
2055-06-21,2366.01,4.56,True,Failure,39.715
2055-06-22,493.15,4.551,True,Failure,16.802
2055-06-23,480.42,4.534,True,Failure,17.139
2055-06-24,477.4,4.509,True,Failure,17.595
2055-06-25,479.46,4.54,True,Failure,18.128
2055-06-26,463.69,4.32,True,Failure,18.376
2055-06-27,471.22,4.408,True,Failure,18.992
2055-06-28,2561.2,4.56,True,Failure,45.655
2055-06-29,2464.13,4.56,True,Failure,44.942
2055-06-30,489.69,4.506,True,Failure,20.748
2055-07-01,475.54,4.501,True,Failure,21.069
2055-07-02,476.06,4.531,True,Failure,21.584
2055-07-03,478.24,4.543,True,Failure,22.114
2055-07-04,478.7,4.545,True,Failure,22.62
2055-07-05,472.92,4.503,True,Failure,23.037
2055-07-06,471.76,4.457,True,Failure,23.511
2055-07-07,2344.25,4.56,True,Failure,47.443
2055-07-08,2553.33,4.56,True,Failure,50.557
2055-07-09,495.18,4.546,True,Failure,25.326
2055-07-10,473.35,4.507,True,Failure,25.544
2055-07-11,477.24,4.54,True,Failure,26.1
2055-07-12,476.9,4.502,True,Failure,26.587
2055-07-13,478.91,4.542,True,Failure,27.122
2055-07-14,476.27,4.501,True,Failure,27.579
2055-07-15,477.8,4.512,True,Failure,28.1
